DMSC,¦¤GOOH,¦¤GOH,¦¤GO,¦¤G1,¦¤G2,¦¤G3,¦¤G4,UL,L,EA1,EA2,R1,R2,P1,P2,Z1,Z2,N1,N2,Nd1,Nd2,IE1,IE2,IE1/Nd1,IE2/Nd2,IE1*L,IE2*L,P1/Nd1,P2/Nd2,P1*Nd1,P2*Nd2,P1+P2,|P1-P2|,R1+R2
Pd/Fe,3.3,0.42,1.26,-1.62,-2.04,-0.85,-0.42,0.42,2.57,0.562,0.151,2.15,2.44,2.2,1.83,46,26,10,8,10,6,8.336839,7.902468,0.8336839,1.317078,21.42567623,20.30934276,0.22,0.305,22,10.98,4.03,0.37,4.59
Pd/Mn,3.05,0.27,2.27,-1.87,-0.78,-2,-0.27,0.27,2.8,0.562,-0.51821331,2.15,2.45,2.2,1.55,46,25,10,7,10,5,8.336839,7.434038,0.8336839,1.4868076,23.3431492,20.8153064,0.22,0.31,22,7.75,3.75,0.65,4.6
Pd/Ni,3.43,0.65,2.9,-1.49,-0.53,-2.24,-0.65,0.53,2.61,0.562,1.156,2.15,2.4,2.2,1.91,46,28,10,10,10,8,8.336839,7.639878,0.8336839,0.95498475,21.75914979,19.94008158,0.22,0.23875,22,15.28,4.11,0.29,4.55
Pd/Pd,3.34,0.58,1.57,-1.58,-1.77,-0.99,-0.58,0.58,2.74,0.562,0.562,2.15,2.15,2.2,2.2,46,46,10,10,10,10,8.336839,8.336839,0.8336839,0.8336839,22.84293886,22.84293886,0.22,0.22,22,22,4.4,0,4.3
Rh/Co,3.9,0.71,2.41,-1.02,-1.49,-1.7,-0.71,0.71,2.56,1.137,0.662256,2.44,2.4,2.28,1.88,45,27,9,9,8,7,7.4589,7.88101,0.9323625,1.125858571,19.094784,20.1753856,0.285,0.268571429,18.24,13.16,4.16,0.4,4.84
Rh/Cr,3.1,0.32,1.56,-1.82,-1.54,-1.24,-0.32,0.32,2.71,1.137,0.666,2.44,2.45,2.28,1.66,45,24,9,6,8,5,7.4589,6.76651,0.9323625,1.353302,20.213619,18.3372421,0.285,0.332,18.24,8.3,3.94,0.62,4.89
Rh/Cu,3.54,0.74,2.34,-1.38,-1.21,-1.59,-0.74,0.74,2.57,1.137,1.235,2.44,2.38,2.28,1.9,45,29,9,11,8,10,7.4589,7.72638,0.9323625,0.772638,19.169373,19.8567966,0.285,0.19,18.24,19,4.18,0.38,4.82
Rh/Fe,4.01,0.7,1.85,-0.91,-2.16,-1.15,-0.7,0.7,2.61,1.137,0.151,2.44,2.44,2.28,1.83,45,26,9,8,8,6,7.4589,7.902468,0.9323625,1.317078,19.467729,20.62544148,0.285,0.305,18.24,10.98,4.11,0.45,4.88
Rh/Mn,2.3,-0.27,1.26,-2.62,-1.04,-1.53,0.27,-0.27,2.54,1.137,-0.51821331,2.44,2.45,2.28,1.55,45,25,9,7,8,5,7.4589,7.434038,0.9323625,1.4868076,18.945606,18.88245652,0.285,0.31,18.24,7.75,3.83,0.73,4.89
Rh/Ni,3.45,0.99,3.55,-1.47,0.1,-2.56,-0.99,-0.1,2.53,1.137,1.156,2.44,2.4,2.28,1.91,45,28,9,10,8,8,7.4589,7.639878,0.9323625,0.95498475,18.871017,19.32889134,0.285,0.23875,18.24,15.28,4.19,0.37,4.84
Rh/Zn,3.22,0.54,2.61,-1.7,-0.61,-2.08,-0.54,0.54,2.74,1.137,-0.60112744,2.44,2.39,2.28,1.65,45,30,9,12,8,10,7.4589,9.394197,0.9323625,0.9394197,20.437386,25.74009978,0.285,0.165,18.24,16.5,3.93,0.63,4.83
Rh/Pt,3.53,0.78,2.02,-1.39,-1.51,-1.24,-0.78,0.78,2.55,1.137,2.128,2.44,2.29,2.28,2.2,45,78,9,10,8,9,7.4589,8.95883,0.9323625,0.995425556,19.020195,22.8450165,0.285,0.244444444,18.24,19.8,4.48,0.08,4.73
Rh/Ru,3.65,0.89,2.58,-1.27,-1.07,-1.69,-0.89,0.89,2.59,1.137,1.05,2.44,2.46,2.28,2.2,45,44,9,8,8,7,7.4589,7.3605,0.9323625,1.0515,19.318551,19.063695,0.285,0.314285714,18.24,15.4,4.48,0.08,4.9
Rh/Rh,3.94,0.72,2.19,-0.98,-1.75,-1.47,-0.72,0.72,2.57,1.137,1.137,2.44,2.44,2.28,2.28,45,45,9,9,8,8,7.4589,7.4589,0.9323625,0.9323625,19.169373,19.169373,0.285,0.285,18.24,18.24,4.56,0,4.88
